"var","skew","curtosis","entropy","class"
-0.36372,2.73157004022511,-3.35015568956233,-1.71353699430151,"'1'"
1.0182,-3.98279812559561,4.09554629990081,-1.06268279892649,"'0'"
-2.1668,2.22574148681622,-0.929299471825997,-1.41272702260453,"'1'"
-3.0265,-8.74339039422035,10.3606685599238,0.385641977286779,"'1'"
-0.071503,-4.73910503118622,5.17751866007005,0.32730986969645,"'0'"
1.9818,5.84212386440726,0.940567173381231,-0.115679888755767,"'0'"
-0.60254,-3.99376496295801,1.36100667091112,0.829654054904606,"'1'"
-3.506,2.78460293165309,0.119183117263481,-1.81868442480343,"'1'"
3.5829,1.42389665387243,1.65622220786813,1.02903147691574,"'0'"
3.8417,0.454089100485267,1.23073820938164,1.81979449606293,"'0'"
-2.234,-7.64455779173323,6.96920017995547,-0.570624867316601,"'1'"
-0.092194,-0.0267839443342951,0.628938686126184,0.524031084911521,"'1'"
2.8297,8.65610216734911,-3.97525533699456,-1.30583341215292,"'0'"
-2.3242,-7.05584526032344,7.27942245965011,0.832501020965344,"'1'"
-4.8554,3.43898496459939,0.592802538627253,-1.37883831865173,"'1'"
5.262,8.91683201861307,-2.6074712753483,-1.53483413644228,"'0'"
-0.025314,8.73583229159434,-0.818354058315498,-1.7117576332361,"'0'"
-0.77688,2.30229855097683,-3.35975895339411,-2.00199517998284,"'1'"
-1.9389,-6.53202293046357,5.81192412705912,-0.346907022403465,"'1'"
1.6849,-4.92176285231889,8.47688677011754,-1.9796333481929,"'0'"
0.4283,-4.7353290010621,6.34646657289894,-1.00880797210326,"'0'"
-1.9983,-6.51728329285834,5.27532642530725,-0.462814345436413,"'1'"
4.2969,-4.49154774991784,3.62185711874907,0.0968394507358181,"'0'"
-1.9116,-6.70923711709832,6.25508502186363,-0.436693657840187,"'1'"
-0.97325,-5.837159418062,4.71691492282496,0.952807199242477,"'1'"
5.032,1.08063585385906,-0.0976650495417649,1.89603917678127,"'0'"
-1.366,11.0462175432671,1.41534202231901,-4.71238599075328,"'0'"
-0.61442,0.190576434886966,-0.600837988425905,-0.0933953178562442,"'1'"
1.296,3.68486294039912,-3.1600905916166,-1.12720279167981,"'1'"
3.1896,2.00047251309559,1.24690697407833,0.484295431238868,"'0'"
1.7331,3.46867537321229,-0.777380860423026,-0.602797877531754,"'0'"
2.9163,-5.34866284751822,6.639801236649,-0.38649642340943,"'0'"
-2.4458,-7.39974022698956,7.04000745168517,-0.699818579730358,"'1'"
3.7767,8.66617029202125,-2.98361863332296,-1.63852080833576,"'0'"
-1.9458,0.893489989030216,0.807229083000659,0.257890612449478,"'1'"
4.6499,8.26956948132117,-2.29353401842284,-0.878458006661639,"'0'"
0.88992,8.4045196314227,-1.24564306096925,-1.24819548230355,"'0'"
-1.1667,1.2238877886949,2.82129815977063,0.687909641517897,"'1'"
-3.0201,-0.117913974993585,1.05049670399597,0.245997536012398,"'1'"
2.3729,-3.95156457769651,4.5120766228091,-0.0388057489464267,"'0'"
1.5356,3.14486538492761,2.17568976793896,0.464128543954905,"'0'"
2.1721,6.58611061272066,-1.18180850508981,-1.28741865957717,"'0'"
-3.3582,6.57886524405919,-1.49254811773023,-5.49942601215914,"'1'"
1.8216,6.24130090199616,0.320469409532873,-0.741683793828408,"'0'"
1.7939,-5.81600940787971,7.7820702358115,-0.443042465448468,"'0'"
3.3577,-4.92572502247302,3.58596249277813,-0.647811481538696,"'0'"
4.7072,8.2101688644217,-3.16528825395446,-1.95260639835023,"'0'"
1.8967,0.265626878013555,3.6278993598589,1.06456897782226,"'0'"
-2.4953,-5.89464115027385,6.90641185623402,-0.333876620365312,"'1'"
-1.7015,2.33788950216923,0.129974593008755,-1.0416220667427,"'1'"
-0.69572,0.648573536436511,-0.27646407053643,-0.452330966553126,"'1'"
0.11806,7.47870208400905,0.284950445022378,-2.40468149283415,"'0'"
-0.36025,2.60011383212012,-2.42586761843982,-1.64937409025994,"'1'"
5.438,3.50225774463396,-1.60361923676174,1.46601290597239,"'0'"
4.0632,0.166139558349431,1.39982465101505,1.12018457489774,"'0'"
-3.73,2.10133883869159,-0.502715427910235,-2.28580528023285,"'1'"
-2.7723,2.04495842583104,1.15636292887424,-0.38602738919835,"'1'"
3.6181,7.83806796802971,-1.66984866791537,-1.67391961277528,"'0'"
2.2504,2.27251547017139,2.78352885563953,-0.0554306845892993,"'0'"
-2.7914,2.8156033274667,-0.275183751124052,-1.59427061013211,"'1'"
2.5089,1.53484918210676,2.40233930322935,0.613150854482723,"'0'"
4.2027,0.191883297785376,-0.219998116519843,0.988646939115205,"'0'"
2.8521,8.12271020064572,-1.81322728346727,-1.14975163538051,"'0'"
3.5912,2.14744913075044,1.3472716079659,0.876654172511063,"'0'"
3.1836,1.66906332686078,1.998402627437,1.35771391558829,"'0'"
0.72252,9.09517405178994,-1.25945820088871,-1.32564150972977,"'0'"
0.11032,6.8609988101441,0.982733026364586,-0.606874549697031,"'0'"
2.1943,2.54124216453902,2.60635968562584,0.159404772038551,"'0'"
4.0948,8.98188059912061,-4.54539882734632,-1.66321439861992,"'0'"
0.50225,-0.014770159141797,0.465884885873319,-0.0306742919449264,"'1'"
0.77124,8.91549780419903,-3.29756482221152,-1.53615558242847,"'0'"
-1.3885,-6.17117221035699,5.45829458504668,0.621304980688834,"'1'"
-1.8584,1.61785426495221,-0.903017361530685,-1.20753788638228,"'1'"
4.4069,0.771500591275593,2.14311112918791,1.42516055589992,"'0'"
5.681,9.52994919801841,-3.28518056481157,-2.78391958941114,"'0'"
2.0007,6.28666148682359,0.951005121954876,0.322344271171047,"'0'"
4.0932,9.43746595155747,-3.99354066052012,-4.07195948605857,"'0'"
-1.0833,8.89900029110555,1.90032872029303,-4.06371936065384,"'0'"
2.3925,9.48726151721911,-2.51244035832739,-1.52557108103003,"'0'"
0.24394,8.86731050484842,-0.396144852519567,-1.75754637244547,"'0'"
4.1757,0.20063726193321,0.964323719117307,1.33308783944312,"'0'"
1.3183,3.36480014704994,-1.69791986116649,-0.611934664269205,"'1'"
-0.75793,2.17241718682255,-2.94227860791568,-1.31288089305157,"'1'"
5.0617,0.702104244816877,1.06643313753583,1.4781434634553,"'0'"
