"IO","PA","HFS","DA","Area","A_DA","MaxIP","DR","P","Class"
301.3043992,0.141903820940366,0.136282309629519,69.7779418082794,294.555232918591,3.3331938929054,36.6449247457811,84.5984222593204,274.784315990448,"mas"
2800,0.0806725755616636,0.108102588819136,556.357653709669,32402.7269772703,55.8403868290512,221.607133384638,457.348757437123,2440.01833426022,"adi"
1724.089894,0.0810334947889744,0.0958266579578592,519.951762673027,18009.1921285939,54.2677350944568,124.121769833689,493.746179663393,2072.60722503886,"adi"
250,0.112749781011899,0.0799016024916382,29.0757929291885,773.892909168704,15.6253955440565,37.8920483391039,17.1371770765026,247.461394521761,"gla"
390,0.178170788678404,0.163918055655879,153.652663696129,3403.98399884342,34.1270560209407,43.5069596137123,179.134080585823,560.878140526373,"mas"
410,0.169038859782419,0.130979387182556,65.6259677058425,955.718444650056,10.8988185536442,35.5084262327731,69.351223247106,479.286613200858,"mas"
303,0.113335494906588,0.0788746600864626,46.7847184093374,1209.10479279113,15.0294419367688,50.3397142732307,6.42103728746866,330.736523341501,"gla"
650,0.0854245486339242,0.0586152861563499,264.30709409201,6458.1561135382,15.9779879458994,41.4091131424977,312.248593189963,664.081176548009,"con"
2000,0.0901594379238348,0.156140987675877,589.55379829927,29040.7554043589,62.2955822725603,229.485892202588,465.216227093853,2260.29529595937,"adi"
185,0.14556610730251,0.0887252158027529,49.2275911536915,1862.51329458332,24.586149549707,50.6290829555316,14.3239809730559,322.670737087837,"con"
250,0.0747654497749261,0.037249413684107,77.5144786842667,1294.44343235266,15.0529663418284,39.1107206295738,34.9169656612369,192.845598751729,"fad"
1850,0.0612043568466825,0.0856187612400286,336.984328024389,9283.43310388562,31.4550856467238,165.032364079574,275.884153003404,2013.24837076927,"adi"
243.2939757,0.0896424469293449,0.057366147018244,27.2658733973211,820.060448738332,16.4331891613679,29.5712370964988,91.8394212642514,163.572462575607,"fad"
155,0.164283090837434,0.187284394209029,21.8745718983041,505.455205064386,9.80437787340188,44.5588960540422,11.7126945241008,214.763852491299,"gla"
438.7801572,0.143684595687445,0.0872573929330376,123.031101502373,1576.80943551293,16.1012801123142,50.0797277785662,115.42179869689,533.812968073399,"car"
216.4132573,0.0725817927493368,0.0637016420513726,48.9124975497844,139.88507388818,4.69902481170142,36.7218933436347,88.2613416140911,198.357074418893,"adi"
103,0.132910279065695,0.102872801505204,41.0472146075396,835.039676903489,16.1628523152938,43.9224494334149,48.4586140663955,168.335680626239,"gla"
551.8792874,0.15733604738634,0.159706657384569,227.698031560479,6509.5569536755,31.2351813182702,80.4800451563535,209.829396615774,723.555030852249,"car"
272,0.109083150261567,0.0840466929325979,59.0219874815866,795.279546036891,15.2786423229401,27.4124291863246,25.4978550595067,267.352873570899,"fad"
2300,0.107607565624654,0.098761685963246,555.092701434486,31913.0001699447,48.2707199125077,229.151651688026,474.525868349214,2020.16647307323,"adi"
223,0.124393607576347,0.135827955877461,96.3465715413163,1004.90264059459,20.4033123576133,32.0569784805458,89.6958405977874,261.550344022564,"mas"
1084.247037,0.0851380493091014,0.128090814786077,289.93153821699,7844.32772177065,27.7272276943736,102.520383834025,307.109635941713,838.876564012064,"con"
470,0.174766610497983,0.106239032379197,138.473971888957,3072.15973518159,18.1634454849191,59.3541585773287,99.1771080284455,360.983621501918,"gla"
